Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
10150,305.0,307.0,140.0,81.0,60.0,52.0,-0.26696833968162537,-0.1489361673593521,0.6730245351791382,3,118.72176853027202,29.41634183970029,10150,3,0.0,0.0,1.0,1.0
10151,447.0,711.0,613.0,2266.0,1365.0,853.0,0.57415771484375,-0.24814100563526154,-0.3150289058685303,3,118.6373265336229,29.41643102172137,10151,3,0.23333333333333334,0.15,0.6166666666666667,0.38333333333333336
10152,397.0,457.0,210.0,162.0,105.0,83.0,-0.12903225421905518,-0.21348313987255096,0.626334547996521,3,118.70730320645463,29.416881390927763,10152,3,0.0,0.0,1.0,1.0
10153,374.0,477.0,222.0,154.0,117.0,77.0,-0.1808510571718216,-0.13653136789798737,0.6060606241226196,3,118.62672725041882,29.417059754969895,10153,3,0.0,0.0,1.0,1.0
10154,404.0,498.0,222.0,194.0,217.0,130.0,-0.06730769574642181,0.05596106871962547,0.39300698041915894,3,118.6275343477095,29.41724257811309,10154,3,0.0,0.0,1.0,1.0
10155,404.0,486.0,235.0,240.0,417.0,303.0,0.010526316240429878,0.26940637826919556,0.07641196250915527,3,118.70514946064577,29.417510124176296,10155,3,0.016666666666666666,0.08,0.9033333333333333,0.8233333333333334
10156,548.5,758.0,523.0,196.0,106.5,79.0,-0.4547983407974243,-0.29586777091026306,0.7536147832870483,3,119.5362679286944,29.417599306197367,10156,3,0.0,0.0,1.0,1.0
10157,348.0,387.0,200.0,241.0,183.0,110.0,0.09297052025794983,-0.13679245114326477,0.35789474844932556,3,118.72679839626028,29.417688488218435,10157,3,0.0,0.0033333333333333335,0.9966666666666667,0.9933333333333334
10158,363.0,466.0,198.0,73.0,57.0,48.0,-0.46125462651252747,-0.1230769231915474,0.7820267677307129,3,118.60848952711022,29.417871311361623,10158,3,0.0,0.0,1.0,1.0
10159,488.0,691.0,415.0,340.0,285.0,162.0,-0.09933774918317795,-0.08799999952316284,0.4159836173057556,3,118.69904049220256,29.417960493382687,10159,3,0.0,0.0,1.0,1.0
10160,581.0,791.0,573.0,297.5,295.5,224.5,-0.3164847791194916,-0.003372681327164173,0.4560515284538269,3,119.53833695158322,29.41804967540376,10160,3,0.0,0.0,1.0,1.0
10161,354.0,459.0,235.0,166.0,169.0,103.0,-0.17206983268260956,0.008955223485827446,0.46178343892097473,3,118.65592098501574,29.418317221466967,10161,3,0.0,0.0,1.0,1.0
10162,321.0,361.0,169.0,101.0,90.0,70.0,-0.2518518567085266,-0.057591624557971954,0.6008869409561157,3,118.79165602108262,29.41840640348803,10162,3,0.0,0.0,1.0,1.0
10163,351.0,421.0,195.0,154.0,104.0,81.0,-0.11747851222753525,-0.19379845261573792,0.6038095355033875,3,118.78923027010954,29.41840640348804,10163,3,0.0,0.0,1.0,1.0
10164,349.0,419.0,195.0,115.0,76.0,57.0,-0.25806450843811035,-0.2041884809732437,0.6929292678833008,3,118.62879181420655,29.41850004461016,10164,3,0.0,0.0,1.0,1.0
10165,355.0,381.0,168.0,111.0,67.0,54.0,-0.20430107414722443,-0.24719101190567017,0.7008928656578064,3,118.7144020953317,29.418678408652294,10165,3,0.0,0.0,1.0,1.0
