Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,prob_1,prob_2,margin
53,53,1527.428571428571,1286.0833333333337,931.3333333333334,1022.375,1044.75,1514.8,1,-0.19807549,0.0041510924,0.18364556,30.356723480486785,114.16280212420725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.16280212420725,30.356723480486785]}",0.9933333333333333,0.006666666666666667,0.9866666666666666
54,54,1872.5,1473.5,976.5,1272.0,1345.0,2465.5,1,-0.19096836,-0.13669895,0.2940559,30.83004580368936,114.68418431511022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.68418431511022,30.83004580368936]}",0.9,0.1,0.8
55,55,1869.5,1501.75,990.2857142857144,1229.111111111111,1299.0,2334.911111111111,1,-0.20666966,-0.110695906,0.28506783,30.45490934104105,114.12156945266617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.12156945266615,30.45490934104105]}",0.8766666666666667,0.12333333333333334,0.7533333333333334
56,56,1864.0,1544.5,734.0,969.0,934.0,2268.0,1,-0.31591952,-0.09777348,0.41661462,30.35286072476507,114.33923124600832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.33923124600831,30.35286072476507]}",0.9366666666666666,0.06,0.8766666666666667
57,57,2306.0,1929.0,695.0,894.0,1122.0,1782.0,1,-0.44125,0.12818004,0.22727273,30.894185514975497,114.37157059623662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.37157059623662,30.894185514975494]}",0.96,0.04,0.9199999999999999
58,58,1247.4166666666663,1104.6,965.2222222222222,1061.2,1086.1785714285716,1234.5,1,-0.08066158,0.005204311,0.06391296,30.5958550091194,114.2240672265842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.2240672265842,30.5958550091194]}",0.9833333333333333,0.01,0.9733333333333333
59,59,2344.5,1846.5,813.0,1056.0,1000.0,2234.0,1,-0.37891486,0.024134543,0.38157082,30.66655242197961,114.44595110176172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44595110176172,30.666552421979606]}",0.9266666666666666,0.07333333333333333,0.8533333333333333
60,60,2525.0,2582.0,1526.0,1438.0,1494.0,2028.0,1,-0.27428716,0.1091588,0.15161839,30.531715297833266,114.40696421843091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.40696421843093,30.531715297833266]}",0.9966666666666667,0.0033333333333333335,0.9933333333333334
61,61,2901.8333333333335,2509.0,1247.1764705882354,1564.857142857143,1800.0,2835.3333333333335,1,-0.29932144,0.011591087,0.22335683,30.458322939120706,114.09983022279046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.09983022279046,30.458322939120702]}",0.91,0.09,0.8200000000000001
62,62,1322.0,1099.0,821.0,878.0,913.0,1235.0,1,-0.20181818,0.034024246,0.14990689,30.615528113841616,114.4616716192338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.46167161923381,30.615528113841616]}",0.9933333333333333,0.006666666666666667,0.9866666666666666
