held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Nanjing,3,B2_loco_gated,9666,46,0.9103009259259259,0.8648508181914513,355,0.48,61
Nanjing,3,B3_loco_ungated,9666,86,0.9104938271604939,0.8651842956464921,351,0.5133333333333333,58
Nanjing,3,B4_random_flip,9666,46,0.910108024691358,0.8645009195955462,354,0.46,65
Nanjing,4,B0_baseline,10186,0,0.9093053173241853,0.8619810109088248,337,0.48,63
Nanjing,4,B1_local_oracle,10186,129,0.9048027444253859,0.8551120060619078,364,0.5666666666666667,51
Nanjing,4,B2_loco_gated,10186,62,0.9108061749571184,0.8642608632991855,336,0.5,60
Nanjing,4,B3_loco_ungated,10186,108,0.907590051457976,0.8593849669707334,351,0.5333333333333333,57
Nanjing,4,B4_random_flip,10186,62,0.9118782161234992,0.865909341781258,328,0.47333333333333333,64
Changsha,0,B0_baseline,10349,0,0.9333481448566985,0.899905813765067,234,0.37333333333333335,72
Changsha,0,B1_local_oracle,10349,36,0.9317929349033548,0.8975457823746421,238,0.4,69
Changsha,0,B2_loco_gated,10349,122,0.9297933792490558,0.894433016747279,252,0.4266666666666667,62
Changsha,0,B3_loco_ungated,10349,254,0.9206842923794712,0.8805770181790291,295,0.48,55
Changsha,0,B4_random_flip,10349,122,0.9320151077538325,0.8978804332110691,244,0.36666666666666664,70
Changsha,1,B0_baseline,10044,0,0.9421556387848523,0.9125772949794898,235,0.36,71
Changsha,1,B1_local_oracle,10044,30,0.9425717852684145,0.9132442576617869,231,0.37333333333333335,70
Changsha,1,B2_loco_gated,10044,110,0.939658759883479,0.9088780276166774,247,0.4,66
Changsha,1,B3_loco_ungated,10044,223,0.9269662921348315,0.8898040964327331,305,0.4666666666666667,56
Changsha,1,B4_random_flip,10044,110,0.9411152725759467,0.91102175256723,239,0.35333333333333333,72
Changsha,2,B0_baseline,9680,0,0.9334622823984526,0.8972807182910646,217,0.3466666666666667,69
Changsha,2,B1_local_oracle,9680,36,0.9326885880077369,0.8961027741499433,218,0.38,66
Changsha,2,B2_loco_gated,9680,124,0.9299806576402321,0.8921430405711,234,0.3933333333333333,63
Changsha,2,B3_loco_ungated,9680,242,0.9205029013539652,0.8779295820282969,285,0.4666666666666667,52
Changsha,2,B4_random_flip,9680,124,0.9340425531914893,0.8981670684601581,217,0.3466666666666667,70
Changsha,3,B0_baseline,9729,0,0.9355594610427651,0.9005011241777976,277,0.3333333333333333,77
Changsha,3,B1_local_oracle,9729,28,0.935950009763718,0.900997488228743,277,0.38,72
Changsha,3,B2_loco_gated,9729,115,0.936340558484671,0.9012872044566292,272,0.37333333333333335,71
Changsha,3,B3_loco_ungated,9729,241,0.9273579379027533,0.8868831675553754,317,0.4533333333333333,59
Changsha,3,B4_random_flip,9729,115,0.9341925405194298,0.8984151121807484,286,0.36,76
Changsha,4,B0_baseline,10324,0,0.9383561643835616,0.9074901699230414,225,0.36666666666666664,71
Changsha,4,B1_local_oracle,10324,30,0.9387980556783031,0.9081500929267259,222,0.37333333333333335,72
Changsha,4,B2_loco_gated,10324,111,0.936367653557225,0.9044849894599113,231,0.3933333333333333,68
Changsha,4,B3_loco_ungated,10324,242,0.9253203711886876,0.8878714644198369,284,0.4666666666666667,57
Changsha,4,B4_random_flip,10324,111,0.9370304904993372,0.9055022342588704,230,0.36666666666666664,72
Hangzhou,0,B0_baseline,9802,0,0.9696909667194928,0.9536754235101437,108,0.4266666666666667,59
Hangzhou,0,B1_local_oracle,9802,111,0.9619651347068146,0.9418298204634535,145,0.43333333333333335,57
Hangzhou,0,B2_loco_gated,9802,19,0.9675118858954042,0.9503367663852221,119,0.4266666666666667,59
Hangzhou,0,B3_loco_ungated,9802,22,0.9681061806656102,0.9512455414182961,116,0.43333333333333335,58
Hangzhou,0,B4_random_flip,9802,19,0.9692947702060222,0.9530659577333288,110,0.4066666666666667,60
Hangzhou,1,B0_baseline,9673,0,0.958470156461271,0.9350828524666539,160,0.43333333333333335,58
Hangzhou,1,B1_local_oracle,9673,118,0.9546069152018544,0.9289787752728835,181,0.44666666666666666,57
