held_out,seed,tau,q,n_corrected,Human_OA,Human_BE,WC_OA,WC_BE
Nanchang,4,0.7,0.2,467,0.4,66,0.9004195186575403,317
Nanchang,0,0.8,0.05,64,0.28,82,0.9053306790533068,195
Nanchang,1,0.8,0.05,60,0.3,79,0.9019257494540401,198
Nanchang,2,0.8,0.05,73,0.25333333333333335,85,0.884470489744663,192
Nanchang,3,0.8,0.05,53,0.2866666666666667,82,0.9095300834431269,211
Nanchang,4,0.8,0.05,55,0.3,80,0.9167586663722677,245
Nanchang,0,0.8,0.1,145,0.29333333333333333,80,0.9028975890289759,202
Nanchang,1,0.8,0.1,151,0.30666666666666664,79,0.9025213420686917,203
Nanchang,2,0.8,0.1,148,0.29333333333333333,80,0.8809125156969443,206
Nanchang,3,0.8,0.1,134,0.30666666666666664,79,0.9060166886253843,224
Nanchang,4,0.8,0.1,126,0.3,80,0.9154338706116141,253
Nanchang,0,0.8,0.2,265,0.32,76,0.8951559389515594,236
Nanchang,1,0.8,0.2,269,0.3466666666666667,73,0.897359539408378,227
Nanchang,2,0.8,0.2,252,0.32666666666666666,75,0.8737965676015069,240
Nanchang,3,0.8,0.2,229,0.3333333333333333,75,0.8965744400527009,272
Nanchang,4,0.8,0.2,245,0.32666666666666666,75,0.9083682932214617,287
Nanchang,0,0.85,0.05,43,0.28,82,0.9028975890289759,201
Nanchang,1,0.85,0.05,39,0.28,83,0.9025213420686917,203
Nanchang,2,0.85,0.05,53,0.28,83,0.8853076601088321,184
Nanchang,3,0.85,0.05,38,0.29333333333333333,82,0.9082125603864735,214
Nanchang,4,0.85,0.05,35,0.29333333333333333,81,0.9174210642525944,250
Nanchang,0,0.85,0.1,93,0.2866666666666667,81,0.9024552090245521,208
Nanchang,1,0.85,0.1,92,0.31333333333333335,78,0.9021242803255907,198
Nanchang,2,0.85,0.1,97,0.3,80,0.8817496860611135,199
Nanchang,3,0.85,0.1,85,0.32,77,0.9071146245059288,222
Nanchang,4,0.85,0.1,77,0.2866666666666667,82,0.9160962684919408,246
Nanchang,0,0.85,0.2,161,0.3,81,0.8986949789869498,223
Nanchang,1,0.85,0.2,159,0.35333333333333333,72,0.9001389716100854,212
