[   104s] [P2|Changsha |s2] B3_loco_ungated   n_corr=  90 WC_OA=0.9298 WC_BE=235 Hum_OA=0.4733 Hum_BE= 51
[   105s] [P2|Changsha |s2] B4_random_flip    n_corr=  39 WC_OA=0.9335 WC_BE=217 Hum_OA=0.3533 Hum_BE= 69
[   106s] [P2|Changsha |s3] B0_baseline       n_corr=   0 WC_OA=0.9356 WC_BE=277 Hum_OA=0.3333 Hum_BE= 77
[   107s] [P2|Changsha |s3] B1_local_oracle   n_corr=  28 WC_OA=0.9360 WC_BE=277 Hum_OA=0.3800 Hum_BE= 72
[   108s] [P2|Changsha |s3] B2_loco_gated     n_corr=  33 WC_OA=0.9350 WC_BE=280 Hum_OA=0.3667 Hum_BE= 72
[   109s] [P2|Changsha |s3] B3_loco_ungated   n_corr=  84 WC_OA=0.9352 WC_BE=278 Hum_OA=0.4400 Hum_BE= 61
[   109s] [P2|Changsha |s3] B4_random_flip    n_corr=  33 WC_OA=0.9346 WC_BE=281 Hum_OA=0.3467 Hum_BE= 76
[   110s] [P2|Changsha |s4] B0_baseline       n_corr=   0 WC_OA=0.9384 WC_BE=225 Hum_OA=0.3667 Hum_BE= 71
[   111s] [P2|Changsha |s4] B1_local_oracle   n_corr=  30 WC_OA=0.9388 WC_BE=222 Hum_OA=0.3733 Hum_BE= 72
[   112s] [P2|Changsha |s4] B2_loco_gated     n_corr=  34 WC_OA=0.9381 WC_BE=224 Hum_OA=0.3667 Hum_BE= 72
[   113s] [P2|Changsha |s4] B3_loco_ungated   n_corr=  86 WC_OA=0.9373 WC_BE=228 Hum_OA=0.4400 Hum_BE= 62
[   114s] [P2|Changsha |s4] B4_random_flip    n_corr=  34 WC_OA=0.9377 WC_BE=229 Hum_OA=0.3533 Hum_BE= 74
[   115s] [P2|Hangzhou |s0] B0_baseline       n_corr=   0 WC_OA=0.9632 WC_BE=134 Hum_OA=0.2933 Hum_BE= 64
[   116s] [P2|Hangzhou |s0] B1_local_oracle   n_corr=  92 WC_OA=0.9605 WC_BE=147 Hum_OA=0.3667 Hum_BE= 53
[   117s] [P2|Hangzhou |s0] B2_loco_gated     n_corr=  13 WC_OA=0.9634 WC_BE=133 Hum_OA=0.3200 Hum_BE= 60
[   118s] [P2|Hangzhou |s0] B3_loco_ungated   n_corr=  16 WC_OA=0.9632 WC_BE=133 Hum_OA=0.3267 Hum_BE= 59
[   118s] [P2|Hangzhou |s0] B4_random_flip    n_corr=  13 WC_OA=0.9628 WC_BE=134 Hum_OA=0.2933 Hum_BE= 64
[   119s] [P2|Hangzhou |s1] B0_baseline       n_corr=   0 WC_OA=0.9536 WC_BE=183 Hum_OA=0.3067 Hum_BE= 64
[   120s] [P2|Hangzhou |s1] B1_local_oracle   n_corr=  98 WC_OA=0.9517 WC_BE=193 Hum_OA=0.3867 Hum_BE= 54
[   121s] [P2|Hangzhou |s1] B2_loco_gated     n_corr=  10 WC_OA=0.9547 WC_BE=179 Hum_OA=0.3133 Hum_BE= 63
[   122s] [P2|Hangzhou |s1] B3_loco_ungated   n_corr=  10 WC_OA=0.9547 WC_BE=179 Hum_OA=0.3133 Hum_BE= 63
[   122s] [P2|Hangzhou |s1] B4_random_flip    n_corr=  10 WC_OA=0.9534 WC_BE=183 Hum_OA=0.2933 Hum_BE= 66
[   123s] [P2|Hangzhou |s2] B0_baseline       n_corr=   0 WC_OA=0.9770 WC_BE= 74 Hum_OA=0.3067 Hum_BE= 66
[   124s] [P2|Hangzhou |s2] B1_local_oracle   n_corr= 103 WC_OA=0.9745 WC_BE= 85 Hum_OA=0.3867 Hum_BE= 54
