system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Pred_Class,Confidence
3900,2190.0,1797.0,686.0,1096.0,1132.0,2997.0,1,-0.33292758,-0.15558127,0.45168322,3900,32.51196151014634,118.81733293734412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81733293734413,32.51196151014634]}",2,0.978
131,1910.5,1523.5,670.0,865.0,897.5,2161.0,1,-0.3766889,-0.061525237,0.413111,131,32.25441451818927,118.71501482648291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.71501482648291,32.25441451818927]}",2,0.976
258,1499.0,934.0,414.0,588.0,432.0,2392.0,1,-0.43651173,-0.22950399,0.69405097,258,31.36346541939953,118.92099852113152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92099852113152,31.36346541939953]}",2,0.976
2545,2064.5,1626.5,704.0,871.0,912.0,2116.5,1,-0.4065747,-0.012437216,0.39772165,2545,31.916468308303507,118.65419888174804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.65419888174803,31.916468308303507]}",2,0.976
4440,2002.5,1530.5,668.0,802.0,821.5,2659.0,1,-0.42806205,-0.1408345,0.5279414,4440,32.06082757446151,118.91938155362013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.91938155362011,32.06082757446151]}",2,0.976
3740,1900.0,1462.0,756.0,1035.0,969.0,2736.0,1,-0.29471892,-0.18032786,0.47692308,3740,31.81522817578324,118.5743386529898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.5743386529898,31.81522817578324]}",2,0.976
3411,2056.0,1538.0,614.0,854.0,819.0,2598.0,1,-0.41305843,-0.11645896,0.52063215,3411,32.48061030673057,118.65330056646393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.65330056646391,32.48061030673057]}",2,0.976
1929,1855.0,1319.0,670.0,874.0,929.0,2388.0,1,-0.35947233,-0.12561867,0.43985528,1929,32.58724033095555,118.63802920663387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.63802920663387,32.58724033095555]}",2,0.976
3109,1722.5,1277.0,766.0,1036.0,1108.0,2371.5,1,-0.24886714,-0.15852468,0.36312687,3109,32.18829851327808,118.67944154123178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.67944154123178,32.18829851327808]}",2,0.976
3951,2083.0,1464.0,652.5,895.5,915.5,2151.5,1,-0.3986906,-0.016176645,0.40299967,3951,32.12326048670782,119.00831476674794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.00831476674794,32.12326048670782]}",2,0.974
