held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Nanjing,0,B3_loco_ungated,10175,24,0.9080213903743316,0.8577927855721064,344,0.52,59
Nanjing,0,B4_random_flip,10175,6,0.9086631016042781,0.8587650066491826,340,0.4866666666666667,63
Nanjing,1,B0_baseline,9725,0,0.9198048780487805,0.8794920826205314,311,0.4666666666666667,65
Nanjing,1,B1_local_oracle,9725,120,0.9139512195121952,0.8704752219049359,340,0.58,49
Nanjing,1,B2_loco_gated,9725,12,0.9198048780487805,0.8795094677486079,312,0.48,63
Nanjing,1,B3_loco_ungated,9725,28,0.9184390243902439,0.8773972282874197,313,0.47333333333333333,64
Nanjing,1,B4_random_flip,9725,12,0.9223414634146342,0.8833079210909255,301,0.47333333333333333,64
Nanjing,2,B0_baseline,10174,0,0.9230111206159111,0.8845334688728884,274,0.49333333333333335,60
Nanjing,2,B1_local_oracle,10174,126,0.9200171086398631,0.8799727196999964,288,0.6,46
Nanjing,2,B2_loco_gated,10174,10,0.9236526946107785,0.8854929644996582,270,0.4866666666666667,61
Nanjing,2,B3_loco_ungated,10174,29,0.9247219846022241,0.8870874257617619,270,0.5133333333333333,59
Nanjing,2,B4_random_flip,10174,10,0.9223695466210436,0.8835746098668986,279,0.5,61
Nanjing,3,B0_baseline,9666,0,0.9106867283950617,0.865359547078822,351,0.47333333333333333,63
Nanjing,3,B1_local_oracle,9666,107,0.9072145061728395,0.8602869774280485,366,0.56,50
Nanjing,3,B2_loco_gated,9666,9,0.9108796296296297,0.865660249342719,350,0.4666666666666667,64
Nanjing,3,B3_loco_ungated,9666,26,0.9116512345679012,0.8668555374236638,348,0.49333333333333335,60
Nanjing,3,B4_random_flip,9666,9,0.9099151234567902,0.8642051448428982,352,0.46,65
Nanjing,4,B0_baseline,10186,0,0.9093053173241853,0.8619810109088248,337,0.48,63
Nanjing,4,B1_local_oracle,10186,129,0.9048027444253859,0.8551120060619078,364,0.5666666666666667,51
Nanjing,4,B2_loco_gated,10186,9,0.9118782161234992,0.8658971562267237,330,0.4666666666666667,66
Nanjing,4,B3_loco_ungated,10186,25,0.9129502572898799,0.867577704697185,330,0.5333333333333333,56
Nanjing,4,B4_random_flip,10186,9,0.9105917667238422,0.8639538790381706,334,0.47333333333333333,65
Changsha,0,B0_baseline,10349,0,0.9333481448566985,0.899905813765067,234,0.37333333333333335,72
Changsha,0,B1_local_oracle,10349,36,0.9317929349033548,0.8975457823746421,238,0.4,69
Changsha,0,B2_loco_gated,10349,39,0.9326816263052655,0.8988719029124946,240,0.38666666666666666,69
Changsha,0,B3_loco_ungated,10349,95,0.9306820706509664,0.8958090565736482,248,0.4533333333333333,58
Changsha,0,B4_random_flip,10349,39,0.9326816263052655,0.8989139237425159,237,0.36666666666666664,71
Changsha,1,B0_baseline,10044,0,0.9421556387848523,0.9125772949794898,235,0.36,71
Changsha,1,B1_local_oracle,10044,30,0.9425717852684145,0.9132442576617869,231,0.37333333333333335,70
Changsha,1,B2_loco_gated,10044,31,0.9440282979608823,0.9154313152459831,225,0.36666666666666664,71
Changsha,1,B3_loco_ungated,10044,81,0.941531419059509,0.9116792733466865,238,0.43333333333333335,61
Changsha,1,B4_random_flip,10044,31,0.9431960049937578,0.9141497918421763,232,0.36,71
Changsha,2,B0_baseline,9680,0,0.9334622823984526,0.8972807182910646,217,0.3466666666666667,69
Changsha,2,B1_local_oracle,9680,36,0.9326885880077369,0.8961027741499433,218,0.38,66
Changsha,2,B2_loco_gated,9680,39,0.9323017408123792,0.8955222191531012,223,0.36,67
Changsha,2,B3_loco_ungated,9680,90,0.9297872340425531,0.8917624556428562,235,0.47333333333333333,51
Changsha,2,B4_random_flip,9680,39,0.9334622823984526,0.8972525181937593,217,0.35333333333333333,69
Changsha,3,B0_baseline,9729,0,0.9355594610427651,0.9005011241777976,277,0.3333333333333333,77
Changsha,3,B1_local_oracle,9729,28,0.935950009763718,0.900997488228743,277,0.38,72
Changsha,3,B2_loco_gated,9729,33,0.9349736379613357,0.899430888425859,280,0.36666666666666664,72
Changsha,3,B3_loco_ungated,9729,84,0.9351689123218121,0.8996163725901067,278,0.44,61
Changsha,3,B4_random_flip,9729,33,0.9345830892403827,0.8990054996873973,281,0.3466666666666667,76
Changsha,4,B0_baseline,10324,0,0.9383561643835616,0.9074901699230414,225,0.36666666666666664,71
Changsha,4,B1_local_oracle,10324,30,0.9387980556783031,0.9081500929267259,222,0.37333333333333335,72
Changsha,4,B2_loco_gated,10324,34,0.9381352187361909,0.9071547844210406,224,0.36666666666666664,72
Changsha,4,B3_loco_ungated,10324,86,0.9372514361467079,0.905818626133539,228,0.44,62
Changsha,4,B4_random_flip,10324,34,0.9376933274414494,0.9064968105830972,229,0.35333333333333333,74
